id,school_code,school_name,school_slug,theme_key,theme_title,llm_strength,final_strength,score_norm_0_1,evidence_urls_count,evidence_snippets_count,confidence_llm,confidence_evidence,confidence_final,cap_reason,guardrail_triggered,raw_hits,source,created_at
000f84b2b9a9e34437330fcb07ce17d702d9d439,3055,chua-chu-kang-secondary-school,chua-chu-kang-secondary-school,scholarship_leadership_excellence,Scholarship & Leadership Excellence,4.5,3.5,0.7,3,0,0.8,0.5,0.5,low evidence,false,0,llm,2025-09-07 02:50:30+00
002934902cf46c5890459995033767633517535b,3201,ahmad-ibrahim-secondary-school,ahmad-ibrahim-secondary-school,faith_based_character,Faith-based Character,4.5,0.0,0.0,4,0,0.8,0.5,0.4,no faith signals found,true,0,llm,2025-09-07 02:57:55+00
002e0379a63dedefd3beb69e2b3ec8f90da93bfa,3074,greendale-secondary-school,greendale-secondary-school,holistic_development,Holistic Development,4.5,4.0,0.8,4,1,0.9,0.75,0.75,≥1 url & ≥1 snippet,false,1,llm,2025-09-07 02:55:38+00
0076da3f675d9aa77741a5bfd29c6624628c4634,3075,edgefield-secondary-school,edgefield-secondary-school,holistic_development,Holistic Development,4.5,4.0,0.8,4,1,0.9,0.75,0.75,≥1 url & ≥1 snippet,false,2,llm,2025-09-07 02:56:00+00
00aa3a591b1cebced6e5af01700a81b099d218ce,3021,bendemeer-secondary-school,bendemeer-secondary-school,holistic_development,Holistic Development,4.5,4.0,0.8,4,1,0.9,0.75,0.75,≥1 url & ≥1 snippet,false,3,llm,2025-09-07 02:43:50+00
00abfd760b79d638a3907014d10ac316647a5523,3225,bedok-view-secondary-school,bedok-view-secondary-school,scholarship_leadership_excellence,Scholarship & Leadership Excellence,4.5,3.5,0.7,3,0,0.9,0.5,0.5,low evidence,false,0,llm,2025-09-07 03:02:34+00
00e58dc2b85f0c6727c1503a2ec684d943b7a2eb,3304,swiss-cottage-secondary-school,swiss-cottage-secondary-school,responsibility_accountability,Responsibility/Accountability,4.5,3.5,0.7,2,0,0.8,0.5,0.5,low evidence,false,0,llm,2025-09-07 03:05:35+00
0116a0505dbdcbb5fa6e512527514cdcec3944e8,3063,jurongville-secondary-school,jurongville-secondary-school,scholarship_leadership_excellence,Scholarship & Leadership Excellence,4.5,3.5,0.7,5,0,0.8,0.5,0.5,low evidence,false,0,llm,2025-09-07 02:51:57+00
0126311273ca9ffed6148adbd6089a754b553cca,702,temasek-junior-college-secondary,temasek-junior-college-secondary,integrity_moral_courage,Integrity/Moral Courage,4.5,4.0,0.8,3,1,0.8,0.75,0.75,≥1 url & ≥1 snippet,false,1,llm,2025-09-07 02:36:09+00
015728dc3f05030ff5656aff129bec0be69658d1,7019,chij-st-josephs-convent,chij-st-josephs-convent,passion_lifelong_learning,Passion & Lifelong Learning,4.5,4.0,0.8,3,1,0.8,0.75,0.75,≥1 url & ≥1 snippet,false,2,llm,2025-09-07 03:20:11+00
