id,code,school_slug,cca,year,event_name,level,category,gender,division,award,position,score,source_url,notes,event_key,created_at,updated_at
000395e8-e821-4066-818d-4df2f7a01cb4,3009,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,1,100.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
014a9563-6c85-465e-98bd-fbdd15442e87,7310,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
025ad16e-d89b-4f2f-967a-ca600f3374cc,3050,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
04222729-5ab4-41d0-9146-0256d9be29e4,3043,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
04e4e590-f79f-438d-956d-7f45d4c3ecde,3004,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
05d690e3-ddd8-44cb-964e-e91f7ee9973a,7118,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
07f011e0-cfa1-4523-982a-150069ad7d8d,3009,,National STEM,2025,National STEM,,Talent Search,,,,4,65.0,,,national-stem-talent-search,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
08fa16ae-721b-45ba-817b-4351fc7db8a1,7001,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
09b44df6-fe8d-4d85-ae67-14c02625463b,7028,kuo-chuan-presbyterian-secondary,Robotics,2023,Robotics,,Best Research Award,,,,2,85.0,,,robotics-best-research-award,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
0c6fc70c-e08e-4577-8250-b431d20eb981,806,,Math Olympiad,2023,Math Olympiad,,Category 2,,,,3,80.0,,,math-olympiad-category-2,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
131137fb-abf4-4891-abf3-29b189f05fb5,3103,,National STEM,2024,National STEM,,Championships,,,,3,80.0,,,national-stem-championships,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
1653d60e-c47f-495d-a45c-1db30ce29a8b,3004,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
17f694e7-c8b4-4d5a-b54b-bf1b8e9fff79,3047,nan-hua-high-school,Robotics,2023,Robotics,,Best Programming Award,,,,2,85.0,,,robotics-best-programming-award,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
1ea7c2c4-b592-4a42-a849-436d7d24d221,3204,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
2d7e1115-ea22-488d-b588-6f3bb5d01e02,7004,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
2e15e61f-e8a0-4d64-a75d-334eb4229482,7118,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
30878979-5cc5-4e6f-9df2-2399cd887684,7030,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
34010f6a-6482-46a7-a8ec-b2f54cd4feef,7308,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
357754fd-0d9d-4330-a699-76e11ca65fc9,3014,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,2,85.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
37145210-cd51-49e2-aa03-f33d38b929e2,3204,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
37a56d95-b418-4388-aa70-fbc3116fe086,3101,,Astronomy,2025,Astronomy,,Individual,,,,3,80.0,,,astronomy-individual,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
3856a29d-318e-4414-b6bd-0da0375b9837,3614,fuhua-secondary-school,Robotics,2023,Robotics,,Best Engineering Design Award,,,,2,85.0,,,robotics-best-engineering-design-award,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
3ec8c724-6ac0-4b5a-bec8-bff6a6089a98,3101,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,3,80.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
43ae16d0-6390-42f7-b74a-478506828bda,3047,nan-hua-high-school,Robotics,2023,Robotics,,Best Research Award,,,,3,80.0,,,robotics-best-research-award,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
43ed28bf-254d-4dfc-bdf4-eccf44e0f8bb,3009,,Math Olympiad,2024,Math Olympiad,,Category 1,,,,1,100.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
4754f722-146c-4ac5-a063-636958b05267,3623,,Math Olympiad,2023,Math Olympiad,,Category 1,,,,4,65.0,,,math-olympiad-category-1,2025-09-20 08:41:10.47299+00,2025-09-20 08:41:10.47299+00
