school_code,school_slug,school_name,short_summary,long_summary,sources,source_hash,updated_at
3001,,anderson-secondary-school,"Anderson Secondary School fosters a culture inspired by the bamboo, emphasizing patience, persistence, and strong foundations. The school motto, “With Constancy and Purpose,” encourages students to pursue goals with resilience and clear direction. Core values include caring in action, noble character, daring in dreams, and excellence in all endeavors. Leadership opportunities cultivate empathy, humility, and service, preparing students to be thinkers, innovators, and leaders who contribute meaningfully to society. The school community supports one another, promoting kindness and mutual growth, aligned with the vision of making a difference for the greater good.","Anderson Secondary School’s culture is deeply influenced by the symbolism of the bamboo, representing patience, resilience, humility, and nobility. The school motto, “With Constancy and Purpose,” reflects the importance of building strong foundations and maintaining perseverance in all pursuits, whether academic, co-curricular, or personal. The school’s mission is to develop Andersonians into discerning thinkers, creative problem-solvers, and noble servant leaders who lead with integrity, humility, and kindness. The ANDE values—caring in action, noble in character, daring in dreams, and excellent in all endeavors—guide students to act with empathy, make morally sound decisions, embrace challenges with resilience, and strive for excellence. Leadership development is integral, offering students multiple opportunities to lead with empathy and vision, fostering a supportive community where students encourage one another’s growth. Celebrating over 65 years, Anderson Secondary emphasizes character and values as the foundation for success, aiming to nurture graduates who contribute positively to society and uphold the virtues embodied by the bamboo.","[{""url"":""https://www.andersonsec.moe.edu.sg/about-andss/bamboo-perspectives/""},{""url"":""https://www.andersonsec.moe.edu.sg/about-andss/mission-and-values/""},{""url"":""https://www.andersonsec.moe.edu.sg/about-andss/school-leaders-message/""}]",2648d2c4aaa966384c915e6911a3bc37c2e5a76a,2025-09-14 02:20:14+00
3002,,bartley-secondary-school,"Bartley Secondary School fosters a values-driven, student-centric culture emphasizing courage, optimism, respect, and excellence. Guided by the Bartley Curriculum Framework, the school nurtures social-emotional competencies and 21st-century skills through academic and co-curricular programmes. Signature initiatives include the Applied Learning Programme in Chemical & Applied Sciences (Fragrance) and the Learning for Life Programme in Community Youth Leadership, which develop STEM skills and leadership character respectively. The school promotes a disciplined, orderly environment and strong home-school partnerships to support holistic development. Bartley aims to empower students to be lifelong learners and leaders who serve others with humility and passion.","Bartley Secondary School, established in 1952, has a rich tradition of nurturing learners and leaders committed to positive societal contributions. The school culture is anchored in its Vision of developing 'Leaders for Others, Learners for Life' and a Mission that empowers students to lead with courage and optimism, serve with respect, and learn with passion. Central to this culture is the Bartley Curriculum Framework (BCF), which integrates core values—courage, optimism, respect, and excellence—with social-emotional competencies and 21st-century skills. The BCF employs the X3-A3 approach to engage students academically and in co-curricular activities, encouraging them to excel and advocate for positive change. Bartley offers distinctive programmes such as the Applied Learning Programme (ALP) in Chemical & Applied Sciences (Fragrance), which provides STEM exploration opportunities, and the Learning for Life Programme (LLP) in Community Youth Leadership, which fosters character development and leadership skills through real-life experiences. The school emphasizes a disciplined and orderly environment as essential for learning and maintains strong partnerships with parents, alumni, and community partners to enrich student development. Through these concerted efforts, Bartley Secondary aims to cultivate students who are confident, respectful, and equipped to contribute meaningfully to society.","[{""url"":""https://www.bartleysec.moe.edu.sg/our-holistic-curriculum/curricular-framework/""},{""url"":""https://www.bartleysec.moe.edu.sg/our-school/principals-message/""},{""url"":""https://www.bartleysec.moe.edu.sg/our-school/vmv-n-philosophy/""}]",5c691230e62b393faa31063a4069bf5894812723,2025-09-14 02:20:22+00
3003,,beatty-secondary-school,"Beatty Secondary School fosters a culture centered on nurturing adaptive thinkers, agile learners, and active contributors. Guided by the DREAM values—Discipline, Resilience, Empathy, Adaptability, and Mindfulness—the school emphasizes character development alongside academic growth. Key programs include the Applied Learning Programme in Machine Learning, which integrates ethical technology use; the Leading for Life Programme, cultivating leadership and stewardship; and NEXUS@BTY, a cross-disciplinary initiative preparing students for future challenges. Beattyians are encouraged to develop critical, creative, and design thinking skills, emotional regulation, and a strong sense of community responsibility, aiming to equip them with lifelong learning skills and purposeful contribution to society.","Beatty Secondary School’s culture is built around its mission to nurture adaptive thinkers, agile learners, and active contributors, preparing students to navigate a rapidly changing world with confidence and purpose. The school’s core values—Discipline, Resilience, Empathy, Adaptability, and Mindfulness (DREAM)—shape its approach to character education, community building, and student development. Beatty emphasizes not only intellectual growth but also social, emotional, and psychological awareness, enabling students to become discerning decision-makers, inventive problem-solvers, and empathetic communicators. The school offers distinctive programs such as the Applied Learning Programme in Machine Learning, which teaches students ethical principles in technology use and encourages real-world problem-solving through AI. The Leading for Life Programme develops personal leadership and stewardship through models like the Leadership Challenge and Joy of Leadership, fostering confidence and integrity. Additionally, NEXUS@BTY provides a curated sequence of cross-disciplinary modules designed to equip students with essential skills and dispositions for life beyond school. Beatty’s holistic education approach encourages students to learn how to learn, live, and love—fostering emotional regulation, mindfulness, and a commitment to community service. The school’s vision is to develop purpose-driven stewards who make meaningful contributions to society, ensuring that each Beattyian can author their own future with skill and integrity.","[{""url"":""https://www.beattysec.moe.edu.sg/our-compass/mission-vision-values/""},{""url"":""https://www.beattysec.moe.edu.sg/our-compass/principals-message/""}]",e794bb9b135d5fd26b3cdbe6929edbfa122c1304,2025-09-14 02:20:29+00
3004,,cedar-girls-secondary-school,"Cedar Girls’ Secondary School, established in 1957, fosters holistic development through its dual-track O-Level and Integrated Programme. The school emphasizes values encapsulated in its motto—Honesty, Perseverance, and Courtesy—and core values of Zeal for Learning, Empathy for Others, Synergy in Diversity, and Togetherness. Known for its inclusive and supportive environment, Cedar prioritizes character education and social innovation, notably through its Imagineering Programme and the Centre for Social Innovation. Students are encouraged to develop critical thinking, resilience, and social responsibility, preparing them to be Women of Character and Wisdom.","Founded in 1957, Cedar Girls’ Secondary School has evolved into a dual-track institution offering both the four-year O-Level Programme and the six-year Victoria-Cedar Alliance Integrated Programme in partnership with Victoria School and Victoria Junior College. The school’s vision is to nurture Women of Character and Wisdom, grounded in its motto of Honesty, Perseverance, and Courtesy. Cedar’s core values—Zeal for Life and Learning, Empathy for Others, Synergy in Diversity, and Togetherness as a Family, Community and Nation—guide its inclusive and supportive culture. The school places strong emphasis on holistic development, encouraging students to cultivate self-awareness, resilience, and graciousness. A distinctive feature is its commitment to social innovation, integrated through the Imagineering Programme and interdisciplinary projects. The Centre for Social Innovation, launched in 2017, serves as a hub to inspire and develop innovative solutions for social causes, allowing students to collaborate with industry experts. Through a forward-thinking curriculum and co-curricular activities, Cedar aims to develop critical and analytical skills, empowering students to contribute meaningfully to society. The school values partnerships with parents, alumni, and the community to sustain a future-oriented learning environment that supports every Cedarian’s growth.","[{""url"":""https://www.cedargirlssec.moe.edu.sg/our-cedar/our-history/""},{""url"":""https://www.cedargirlssec.moe.edu.sg/our-cedar/our-identity/vision-mission-values/""},{""url"":""https://www.cedargirlssec.moe.edu.sg/our-people/principal/welcome/""}]",9c2c7f53d4ebdee121d182b042f2ae0a474b440b,2025-09-14 02:20:37+00
3005,,crescent-girls-school,"Crescent Girls’ School fosters a disciplined and respectful environment where students develop self-discipline, responsibility, and sound values. The school emphasizes nurturing gracious, well-mannered young women who are future-ready leaders with moral courage, resilience, drive, innovativeness, empathy, and teamwork. Students are encouraged to be confident learners, global citizens, and servant leaders who serve others and lead by example. The school maintains clear rules and a merit-demerit system to reinforce positive behavior and involves parents in supporting student growth. A strong community culture of care and collaboration among staff, parents, alumni, and partners supports holistic education focused on character development and leadership.","Crescent Girls’ School (CGS) cultivates a safe, orderly, and respectful learning environment where students are guided to develop self-discipline, sound values, and a strong sense of responsibility. The school’s vision is to nurture Crescentians as gracious ladies and future-ready leaders who demonstrate poise, wisdom, humility, compassion, and the ability to influence positive change. The mission focuses on developing confident learners who are self-directed and curious, global citizens who embrace diversity and demonstrate empathy, and servant leaders motivated by service and collaboration. Core values such as courage, resilience, drive, innovativeness, empathy, and teamwork underpin the school culture. CGS enforces clear school rules on attire, attendance, and conduct, with a merit and demerit system recognizing exemplary behavior and addressing misdemeanors with appropriate consequences and parental involvement. The school’s leadership emphasizes holistic education, character strength, and leadership development through a student-centred curriculum and meaningful learning experiences. A strong community network including staff, parents, the School Advisory Committee, alumni, and educational partners actively supports students’ growth. This collaborative culture fosters a caring environment where students are empowered to thrive, succeed, and become responsible members of society and gracious global citizens.","[{""url"":""https://www.crescent.edu.sg/about-cgs/discipline-philosophy-and-school-rules/""},{""url"":""https://www.crescent.edu.sg/about-cgs/mission-vision-values/""},{""url"":""https://www.crescent.edu.sg/about-cgs/principals-foreword/""}]",ed62038a167eaeaee021a39a3fc523275af7c151,2025-09-14 02:20:43+00
3006,,gan-eng-seng-school,"Gan Eng Seng School (GESS), with a 138-year heritage, emphasizes nurturing future-ready students through holistic education aligned with the Ministry of Education’s 3 Cs framework: Creator, Connector, and Contributor. The school integrates Design Thinking in its Applied Learning Programme to foster creativity and empathy. It promotes collaboration through Full Subject-Based Banding and diverse co-curricular activities. Values education and a tiered Values-In-Action programme encourage students to contribute actively to the community, from school cleanliness projects to engaging the elderly. GESS maintains strong partnerships with parents and alumni, supporting its mission to develop resilient, socially responsible individuals.","Gan Eng Seng School (GESS), one of Singapore’s oldest schools with a 138-year history, is deeply connected to the nation’s narrative of resilience and progress. The school’s culture centers on nurturing students to be future-ready by embodying the Ministry of Education’s 3 Cs: Creator, Connector, and Contributor. Creativity is cultivated through the Applied Learning Programme, particularly the Design Thinking Protocol in Design and Technology, which encourages students to innovate empathetically. Collaboration is enhanced by the school’s implementation of Full Subject-Based Banding since 2020, allowing students of varied strengths to learn together, and through activities such as Life Camps, Learning Festivals, CCAs, and international exchanges. Contribution is embedded in the Values Education and Values-In-Action (ViA) programmes, which progressively engage students from secondary one through five in community service, including projects like school cleanliness and regular interactions with the elderly. The school’s commitment to holistic development is recognized through awards and positive validation exercises. Strong partnerships with the School Advisory Committee, Parent-Teacher Association, and alumni association underpin the school’s efforts. GESS fosters a culture of resilience, social responsibility, and continuous improvement, preparing students to navigate change and positively impact their communities.","[{""url"":""https://www.ganengsengsch.moe.edu.sg/about-us/gessian-portrait/""},{""url"":""https://www.ganengsengsch.moe.edu.sg/about-us/principals-message/""}]",facbaa702198d6c85caa79009440d15b2433ff72,2025-09-14 02:20:49+00
3007,,queensway-secondary-school,"Queensway Secondary School fosters a community of lifelong learners and compassionate leaders. The school emphasizes a caring and enabling environment that nurtures confident learners and leaders grounded in values of integrity, care, respect, responsibility, and resilience. Students are encouraged to excel in academics, sports, and service, embodying leadership with courage and foresight.","Queensway Secondary School's culture centers on developing lifelong learners and compassionate leaders who actively shape the future. The school mission highlights creating a caring and enabling environment that nurtures confidence and leadership among students. Core values such as integrity, care, respect, responsibility, and resilience underpin the school's approach to character education and student development. The school song reflects pride in the Queensway identity and a commitment to success across academics, sports, and community service. Students are encouraged to strive loyally and joyfully, demonstrating leadership qualities of courage and foresight. This holistic focus on personal growth, leadership, and community engagement defines the school's ethos and daily life.","[{""url"":""https://www.queenswaysec.moe.edu.sg/about-us/who-we-are/""}]",d28cd04560fadcf8dca3a40926576ae64020bf02,2025-09-14 02:20:52+00
3008,,raffles-girls-school-secondary,"Raffles Girls’ School (RGS) is a premier girls’ school in Singapore with a 146-year history, committed to nurturing high-ability learners through the Raffles Programme, a seamless 6-year curriculum emphasizing interdisciplinary skills, character and leadership education, and research. The school values a people-centred, principled, passionate, and professional community, supported by a strong pastoral care system including counsellors and form teachers. The Braddell campus fosters collaboration and environmental awareness. RGS encourages students to serve the community and uphold its motto, Filiae Melioris Aevi (“Daughters of a Better Age”), preparing girls to be purposeful leaders and thinkers who contribute meaningfully to society.","Raffles Girls’ School (RGS), established in 1879, is a distinguished institution dedicated to educating high-ability girls through its signature Raffles Programme, a continuous 6-year curriculum designed to develop interdisciplinary skills, critical thinking, and leadership. The curriculum includes subjects like Inquiry & Advocacy, Character & Leadership Education, and Research Studies, with the Raffles Academy offering opportunities for deeper learning through research or coursework modules. RGS fosters a vibrant, safe, and supportive environment on its Braddell campus, which is designed to promote collaboration and environmental consciousness. The school community is guided by core values—people-centred, principled, passionate, and professional—that shape interactions and learning. Pastoral care is robust, with counsellors and form teachers providing social-emotional and academic support. RGS emphasizes character development, resilience, and service, encouraging students to contribute meaningfully to society in line with its motto, Filiae Melioris Aevi (“Daughters of a Better Age”). The school’s vision is to nurture leaders who aspire to create a better future, valuing diversity, inclusiveness, and intellectual risk-taking. The Raffles Tree sculpture and the Rafflesian Creed symbolize the school’s commitment to integrity, passion, compassion, and honouring tradition while innovating for the common good. Overall, RGS aims to develop purposeful individuals who are reflective thinkers, courageous pioneers, and compassionate leaders.","[{""url"":""https://www.rgs.edu.sg/about-us/historical-milestones/historical/""},{""url"":""https://www.rgs.edu.sg/about-us/principal-message/""},{""url"":""https://www.rgs.edu.sg/about-us/school-symbols/""},{""url"":""https://www.rgs.edu.sg/about-us/vision-mission-values/""}]",a6403608a76b9186c34a7b42738fe7072cd86c3e,2025-09-14 02:21:00+00
3009,,raffles-institution-secondary,"Raffles Institution, Singapore's oldest school, fosters a dynamic culture centered on excellence, discipline, and a strong community spirit known as Team Raffles. Catering to high-ability students aged 13 to 18, the school emphasizes character development, multicultural understanding, and nurturing diverse talents. Its heritage, symbolized by the gryphon crest, reflects a balance of tradition and forward-looking innovation. The Raffles Programme integrates a rigorous curriculum with values that prepare students to contribute meaningfully to society and face future challenges with resilience and creativity.","Founded in 1823, Raffles Institution (RI) is Singapore's oldest school and has a rich heritage celebrated through its archives and museum. The school's culture is defined by a commitment to academic excellence, character development, and a strong sense of community known as Team Raffles. RI serves high-ability students aged 13 to 18, welcoming diverse backgrounds and nurturing their strengths to prepare them as future leaders. The school’s crest, featuring a gryphon and symbols like the Order of the Golden Sword and the kris, embodies values of courage, intellectual pursuit, heroism, and multicultural outlook, reflecting RI’s respect for intercultural understanding. The Raffles Programme offers a forward-looking, integrated six-year curriculum that balances tradition with innovation, aiming to equip students with the skills and mindset to thrive amid rapid global changes. Discipline, passion, and a broad range of talents are encouraged, fostering well-rounded individuals ready to contribute positively to society and the world.","[{""url"":""https://www.ri.edu.sg/about-us/message-from-the-principal""},{""url"":""https://www.ri.edu.sg/about-us/mission""},{""url"":""https://www.ri.edu.sg/about-us/our-history""}]",364e5de236125d8e95783d0c53a60b9b74360a39,2025-09-14 02:21:07+00
3010,,serangoon-secondary-school,"Serangoon Secondary School fosters a holistic and future-ready education through its 5-4-3-2-1 framework, integrating academic excellence with character development. The school emphasizes a balanced curriculum across languages, humanities, STEM, and student development areas like PE, CCA, and CCE. Key initiatives include the StaRs Programme for experiential learning, overseas learning journeys to build global awareness, and the 'One Class, One Kampong, One Serangoon' initiative to strengthen a culture of care and support. Teachers use data-driven approaches to tailor support and build positive class ecosystems. The school nurtures leadership, resilience, teamwork, and cultural sensitivity, preparing students to be confident, compassionate, and engaged members of society.","Serangoon Secondary School, with a heritage spanning nearly a century, is committed to nurturing well-rounded, future-ready students through its comprehensive 5-4-3-2-1 framework. This framework guides students' academic and personal development progressively from Secondary 1 to 5, focusing on intellectual growth and character building. The curriculum is thoughtfully organized into three groups: Languages and Humanities, STEM, and Student Development (including PE, CCA, and CCE), ensuring a balanced and holistic education. The school’s StaRs Programme offers experiential learning opportunities such as outdoor adventure camps for resilience and leadership, applied learning modules for critical thinking, and visits to Institutes of Higher Learning to inform future pathways. Overseas learning journeys to countries like Brunei, Vietnam, and China further enhance students’ cultural sensitivity, leadership, and communication skills, with post-trip sharing sessions reinforcing these experiences. A key cultural initiative is 'One Class, One Kampong, One Serangoon,' which fosters an inclusive and supportive class environment. Form Teachers utilize data analytics and social-emotional learning tools to understand and support students better, collaborating closely with Vice Principals and school leaders to provide targeted interventions. This data-informed, team-based approach strengthens the class ecosystem and promotes a culture of care. Academically, the school encourages interdisciplinary collaboration and innovative pedagogies, such as project work integrating English, Science, and Humanities, and creative literature projects that build confidence and empathy. The Mother Tongue and Humanities departments emphasize cultural appreciation and inquiry-based learning to deepen engagement and critical thinking. Overall, Serangoon Secondary School’s culture centers on integrity, resilience, compassion, and a supportive community, aiming to develop confident, self-directed learners who are prepared to contribute meaningfully to society.","[{""url"":""https://www.serangoonsec.moe.edu.sg/about-us/principalsmessage/""},{""url"":""https://www.serangoonsec.moe.edu.sg/about-us/sac-chairman-message/""},{""url"":""https://www.serangoonsec.moe.edu.sg/about-us/vp-message/""},{""url"":""https://www.serangoonsec.moe.edu.sg/history/""},{""url"":""https://www.serangoonsec.moe.edu.sg/vmv/""}]",35fac3bb0093ba2b7a9bc4968cf3448fa287c610,2025-09-14 02:21:16+00
