code,name,address,lat,lng,cop_ranges,affiliated_primaries,affiliated_primary_slugs,gender
701,national-junior-college-secondary,"37 Hillcrest Road, S288913",1.330727,103.8044167,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":7,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
702,temasek-junior-college-secondary,"2 Tampines Avenue 9, S529564",1.3575805,103.9559137,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":8,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
806,Hwa Chong Institution (Secondary),"661 Bukit Timah Road, S269734",1.3262797,103.8035258,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":6,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":""M"",""nonaffiliated_min_qualifier"":""D""},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3001,anderson-secondary-school,"10 Ang Mo Kio Street 53, S569206",1.3754171,103.8517227,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":10,""nonaffiliated_min_score"":5,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":23,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":26,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3002,bartley-secondary-school,"10 Jalan Bunga Rampai, S538403",1.3406552,103.8823271,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":22,""nonaffiliated_min_score"":7,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":25,""nonaffiliated_min_score"":22,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":29,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3003,beatty-secondary-school,"1 Toa Payoh North, S318990",1.3417851,103.8522734,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":17,""nonaffiliated_min_score"":12,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":25,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3004,cedar-girls-secondary-school,"1 Cedar Avenue, S349692",1.3344,103.8744,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":7,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":9,""nonaffiliated_min_score"":7,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Girls
3005,crescent-girls-school,"357 Tanglin Road, S247961",1.2934392,103.8180238,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":10,""nonaffiliated_min_score"":7,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":23,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Girls
3006,gan-eng-seng-school,"1 Henderson Road, S159561",1.29025,103.8234,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":14,""nonaffiliated_min_score"":9,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":23,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3007,queensway-secondary-school,"2A Margaret Drive, S149295",1.3002855,103.8020079,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":16,""nonaffiliated_min_score"":12,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":24,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":27,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3008,raffles-girls-school-secondary,"2 Braddell Rise, S318871",1.3429556,103.8433071,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":5,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Girls
3009,raffles-institution-secondary,"1 Raffles Institution Lane, S575954",1.3454969,103.8417971,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":6,""nonaffiliated_min_score"":4,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3010,serangoon-secondary-school,"11 Upper Serangoon View, S534237",1.3749592,103.9020458,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":22,""nonaffiliated_min_score"":15,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":24,""nonaffiliated_min_score"":23,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":26,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3012,commonwealth-secondary-school,"698 West Coast Road, S608784",1.3197771,103.7457295,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":12,""nonaffiliated_min_score"":8,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":23,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":27,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3013,tanjong-katong-girls-school,"20 Dunman Lane, S439272",1.3088785,103.8955001,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":12,""nonaffiliated_min_score"":7,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":23,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Girls
3014,victoria-school,"2 Siglap Link, S448880",1.3085421,103.9274578,"[{""year"":2024,""posting_group"":null,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":7,""nonaffiliated_min_score"":5,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":9,""nonaffiliated_min_score"":6,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":null,""nonaffiliated_min_score"":null,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Boys
3015,whitley-secondary-school,"30 Bishan Street 24, S579747",1.3554571,103.842662,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":22,""nonaffiliated_min_score"":6,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":25,""nonaffiliated_min_score"":23,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":30,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3019,yuhua-secondary-school,"35 Jurong West Street 41, S649406",1.3493481,103.721081,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":21,""nonaffiliated_min_score"":16,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":25,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3020,yishun-secondary-school,"4 Yishun Street 71, S768516",1.4279397,103.8290282,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":19,""nonaffiliated_min_score"":14,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":24,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":27,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3021,bendemeer-secondary-school,"1 St Wilfred Road, S327919",1.3244863,103.860486,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":22,""nonaffiliated_min_score"":8,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":25,""nonaffiliated_min_score"":22,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
3026,ang-mo-kio-secondary-school,"6 Ang Mo Kio Street 22, S569362",1.3676706,103.842545,"[{""year"":2024,""posting_group"":3,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":15,""nonaffiliated_min_score"":10,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":2,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":24,""nonaffiliated_min_score"":21,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null},{""year"":2024,""posting_group"":1,""affiliated_max_score"":null,""affiliated_min_score"":null,""nonaffiliated_max_score"":28,""nonaffiliated_min_score"":25,""affiliated_max_qualifier"":null,""affiliated_min_qualifier"":null,""nonaffiliated_max_qualifier"":null,""nonaffiliated_min_qualifier"":null}]",[],[],Mixed
